lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users
52.480000000000004,13.355,256,1115.4,4.35703125,7.005403640625,221,72
52.480000000000004,13.36,6670,18234.15,2.7337556221889057,2.9196751670164915,1886,84
52.480000000000004,13.365,5,35.769999999999996,7.153999999999999,4.2233334,4,4
52.480000000000004,13.375,1,12.02,12.02,23.0,1,1
52.480000000000004,13.385,4,23.9,5.975,24.174999999999997,4,4
52.480000000000004,13.405000000000001,3,22.75,7.583333333333333,17.25,3,3
52.480000000000004,13.41,16,72.27,4.516875,28.71875,15,16
52.480000000000004,13.415000000000001,21,110.55,5.264285714285714,24.011111142857143,20,21
52.480000000000004,13.42,84,362.41,4.314404761904762,17.448611107142856,61,75
52.480000000000004,13.425,517,2377.88,4.599381044487427,21.67562860928433,356,399
52.480000000000004,13.43,231,1044.24,4.52051948051948,14.982900428571428,162,182
52.480000000000004,13.435,853,3657.15,4.287397420867526,15.465416178194607,511,637
52.480000000000004,13.44,787,3899.45,4.9548284625158825,13.706840330368488,473,570
52.480000000000004,13.445,75,385.41,5.138800000000001,14.524222186666666,66,64
52.480000000000004,13.450000000000001,44,176.2,4.004545454545454,17.57689393181818,31,41
52.480000000000004,13.455,4,19.7,4.925,33.2875,4,4
52.485,13.315,2,7.63,3.815,65.275,2,2
52.485,13.32,10,71.61,7.161,16.066666700000003,8,10
52.485,13.325000000000001,17,96.03999999999999,5.6494117647058815,17.28431370588235,16,17
52.485,13.33,19,97.57,5.1352631578947365,24.901754526315788,18,16
52.485,13.335,14,19.490000000000002,1.3921428571428573,19.97023807142857,6,10
52.485,13.34,1,3.07,3.07,12.816667,1,1
52.485,13.345,14,93.32000000000001,6.665714285714286,19.589285714285715,12,14
52.485,13.35,13,46.78,3.5984615384615384,20.403846153846153,10,12
52.485,13.355,11,69.25,6.295454545454546,16.354545545454545,9,11
52.485,13.36,9,71.47999999999999,7.942222222222221,12.0,7,9
52.485,13.365,4,32.08,8.02,15.8041665,4,4
52.485,13.370000000000001,1,0.89,0.89,15.766667,1,1
52.485,13.375,4,35.71,8.9275,12.070833,4,4
52.485,13.38,6,32.44,5.406666666666666,11.308333499999998,6,6
52.485,13.385,14,54.03,3.8592857142857144,26.567857214285713,11,13
52.485,13.39,4,35.92,8.98,21.9208335,4,3
52.485,13.395,5,13.54,2.7079999999999997,18.8300002,4,5
