START_DATE,rides,riders,scooters,revenue,avg_price,avg_duration,avg_distance
2019-06-21,1069,564,418,3908.87,3.6565668849391955,11.917524172123478,0.8221702525724977
2019-06-22,4080,2183,844,19059.48,4.671441176470588,13.559338239705882,1.0260563725490197
2019-06-23,2869,1624,523,12796.65,4.460317183687696,13.863965369466714,1.0181944928546531
2019-06-24,2060,1040,423,11698.58,5.6789223300970875,11.182491913592234,0.9866844660194174
2019-06-25,1933,1132,460,10327.36,5.342659079151578,11.632721152612518,1.0451163993792034
2019-06-26,1089,723,380,4438.57,4.075821854912764,15.945775945821854,0.901505968778696
2019-06-27,1029,612,346,4458.04,4.332400388726919,11.688224818270166,0.7889018464528669
2019-06-28,1218,813,339,5295.46,4.347668308702792,14.076587303776684,0.8540886699507388
2019-06-29,1241,834,305,5068.44,4.084157937147461,13.926806334407734,0.8641176470588234
2019-06-30,2324,1289,426,8277.4,3.5617039586919104,13.438927139845095,0.7843588640275387
2019-07-01,1883,1135,456,8145.85,4.325995751460436,13.675668269251194,0.8504726500265534
2019-07-02,1563,936,442,6708.2,4.291874600127959,11.860887192578375,0.7652335252719129
2019-07-03,1720,885,586,6628.84,3.8539767441860464,10.407354644767443,0.6903197674418604
2019-07-04,2269,1208,817,9840.83,4.33707800793301,12.577589260907889,0.8534067871308947
2019-07-05,2424,1516,779,11495.74,4.74246699669967,13.238125696369638,0.8936221122112211
2019-07-06,3953,2007,730,17145.87,4.3374323298760435,14.274226326081457,0.9116316721477359
2019-07-07,2803,1487,486,11626.49,4.147873706742775,15.303097871209419,0.9597752408134143
2019-07-08,1116,725,356,5071.7,4.5445340501792115,12.686320180107527,0.8341487455197132
2019-07-09,1340,828,482,6438.96,4.805194029850746,12.275957697014926,0.8641716417910448
2019-07-10,1497,982,552,7394.8,4.939746158984636,12.717345815631264,0.9371743486973948
2019-07-11,1624,977,560,7743.81,4.768355911330049,12.121059113916255,0.8522044334975369
2019-07-12,1591,1013,533,7568.98,4.757372721558768,12.699099098680074,0.8796480201131364
2019-07-13,2694,1735,837,11926.55,4.427078693392724,12.656811436154417,0.8564402375649591
2019-07-14,2625,1709,772,11969.88,4.559954285714285,14.994761904761905,1.0226209523809524
2019-07-15,1809,1112,727,8762.99,4.844107241569928,12.306642696517414,0.8947042564953013
2019-07-16,2214,1343,843,10377.22,4.687091237579042,11.926972298554652,0.8563595302619693
2019-07-17,2721,1574,953,12504.67,4.595615582506431,11.90477765784638,0.8424843807423742
2019-07-18,2469,1489,928,12462.99,5.047788578371811,12.509977049007695,0.938120696638315
2019-07-19,2450,1538,922,12861.52,5.2496,14.171367333877551,1.0853224489795918
2019-07-20,2784,1810,878,14456.22,5.19260775862069,15.13197438038793,1.1829310344827586
2019-07-21,2379,1608,828,12266.23,5.15604455653636,17.013780299705758,1.2023497267759562
2019-07-22,2066,1278,829,11097.7,5.371587608906099,12.751419814133593,1.0388334946757019
2019-07-23,2469,1513,907,13288.5,5.382138517618469,13.548798435803969,1.0509396516808425
2019-07-24,2486,1414,962,13003.37,5.2306395816572815,11.5026481536605,0.924569589702333
2019-07-25,2354,1385,953,12669.44,5.382090059473237,12.1485060913339,1.0158751062022089
2019-07-26,2552,1670,1027,13547.97,5.308765673981191,13.089041280956113,1.053608934169279
2019-07-27,3548,2359,1209,19224.56,5.4184216459977455,14.209465428128524,1.1456595264937994
2019-07-28,3598,2298,1253,19376.49,5.3853501945525295,15.224161570594774,1.2032712618121177
2019-07-29,2221,1323,1012,12762.52,5.746294461954075,12.442308269698334,1.0286402521386764
2019-07-30,2716,1603,1123,15729.48,5.791413843888071,13.41738463843888,1.154120029455081
2019-07-31,2000,1243,1005,11847.11,5.923555,12.529724988,1.1063900000000002
2019-08-01,2513,1523,1093,13749.57,5.471376840429765,12.726435859928372,1.0180023875845603
2019-08-02,2479,1630,1102,14371.57,5.797325534489714,12.267056607503024,1.0224687373941104
2019-08-03,3753,2321,1248,20702.51,5.516256328270717,14.755235808952838,1.2101492139621635
2019-08-04,3027,1889,996,16547.35,5.466584076643541,15.724551258011232,1.2710769739015528
2019-08-05,2587,1588,1050,14916.55,5.765964437572477,13.383591030150752,1.1330885195206803
2019-08-06,2650,1697,1065,15145.81,5.7154,14.105081773584905,1.1520754716981132
2019-08-07,2947,1832,1137,16447.27,5.581021377672209,12.988949220223956,1.0491890057685782
2019-08-08,2695,1736,1103,14945.64,5.5456920222634505,12.849523807792208,1.056352504638219
2019-08-09,3295,2061,1292,18106.55,5.495159332321699,13.58231664491654,1.0817116843702579
2019-08-10,4239,2672,1469,22993.3,5.424227412125501,14.42766769190847,1.1736305732484078
2019-08-11,3608,2305,1247,19090.33,5.291111419068737,14.716371030487805,1.1389107538802659
2019-08-12,2573,1630,1060,14136.35,5.494111931597358,13.641825372716674,1.0756548775748154
2019-08-13,2288,1442,1050,13377.9,5.846984265734266,12.208704829982517,1.0305113636363636
2019-08-14,2361,1512,1122,13457.35,5.699851757729776,12.316193704786109,1.0250783566285473
2019-08-15,2739,1729,1254,15586.58,5.6906097115735665,12.266837035779481,1.0351150054764513
2019-08-16,3219,2067,1392,18472.97,5.738729419074247,12.533763081081082,1.071717924821373
2019-08-17,3657,2441,1364,19877.64,5.435504511894996,14.23125968717528,1.1254580257041291
2019-08-18,2286,1607,1075,12422.02,5.433954505686789,14.134128022309712,1.0916404199475065
2019-08-19,2092,1364,1042,12401.67,5.928140535372849,11.733094326959847,0.9982122370936903
2019-08-20,2202,1396,1054,12606.12,5.724850136239782,12.543755676203451,1.0095367847411445
2019-08-21,2124,1369,1077,12296.87,5.789486817325801,12.683097926553673,1.0561158192090396
2019-08-22,1988,1370,1000,11951.8,6.011971830985915,12.549513755030182,1.0822837022132796
2019-08-23,2380,1520,1086,13520.84,5.681025210084034,12.556715689075629,1.0563739495798319
2019-08-24,2902,1892,1173,16593.62,5.717994486560992,13.566482888697449,1.1499069607167471
2019-08-25,2396,1595,1050,13747.51,5.737691986644408,13.971480242070118,1.1648998330550917
2019-08-26,1725,1137,944,9647.96,5.593020289855072,11.789536244057972,0.9451362318840579
2019-08-27,2074,1291,1102,12123.7,5.8455641272902605,11.61886050048216,0.9896817743490839
2019-08-28,2011,1274,1032,11909.34,5.922098458478369,11.888032486325212,1.001824962705122
2019-08-29,1993,1377,1035,11757.52,5.899407927747115,12.848260575514301,1.0788509784244857
2019-08-30,2462,1623,1179,14087.92,5.722144597887896,14.07257650121852,1.124561332250203
2019-08-31,3003,1998,1200,16641.5,5.541625041625042,14.51477410889111,1.151781551781552
2019-09-01,2195,1517,1030,12145.57,5.533289293849658,14.698299169931662,1.1605558086560366
2019-09-02,1551,1010,859,9292.72,5.99143778207608,11.246271215989685,0.9772082527401676
2019-09-03,1693,1031,904,9435.98,5.573526284701713,11.111478640874187,0.8972888363851151
2019-09-04,1755,1207,968,10175.47,5.797988603988603,12.52188984045584,0.9885527065527066
2019-09-05,1715,1179,905,10314.99,6.014571428571428,12.531000973177841,1.0676151603498543
2019-09-06,2336,1563,1078,13356.13,5.717521404109589,13.612150405393836,1.1059888698630138
2019-09-07,2362,1482,1082,13641.77,5.7755165114309905,13.202773068585945,1.0923878069432684
2019-09-08,2063,1396,970,11778.29,5.709301987396995,14.384205842947164,1.1709258361609307
2019-09-09,947,636,609,5642.61,5.958405491024287,11.153695903907074,0.9384371700105597
2019-09-10,1481,995,830,8825.22,5.958960162052667,12.68360342606347,1.0451046590141795
2019-09-11,1623,1017,880,9568.77,5.895730129390019,12.288837526186075,1.0371102895871842
2019-09-12,1514,1041,839,8861.48,5.853025099075297,12.564542052840158,1.0149735799207398
2019-09-13,1831,1251,963,10392.77,5.67600764609503,12.416948844893502,1.0307318405243036
2019-09-14,2221,1470,1060,12011.47,5.408135974786132,13.679010972084647,1.0263619990995048
2019-09-15,1530,1101,827,8213.61,5.368372549019608,15.240566449673203,1.1035882352941178
2019-09-16,1136,777,673,6431.14,5.661214788732394,12.140302229753521,0.8860299295774647
