lat_bin,lon_bin,rides,revenue,avg_price,avg_duration,unique_scooters,unique_users,ends,net_flow
52.46,13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.46,13.42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.46,13.425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.46,13.435,2.0,8.21,4.105,23.2333335,2.0,2.0,3.0,1.0
52.46,13.44,1.0,1.32,1.32,51.383333,1.0,1.0,1.0,0.0
52.46,13.445,3.0,15.090000000000002,5.03,4.1888890000000005,3.0,3.0,5.0,2.0
52.46,13.450000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.46,13.455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.46,13.47,1.0,3.84,3.84,10.783333,1.0,1.0,0.0,-1.0
52.46,13.475,7.0,24.54,3.505714285714286,27.21666671428571,7.0,7.0,8.0,1.0
52.46,13.505,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
52.46,13.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.46,13.515,21.0,47.39,2.256666666666667,18.907936476190475,9.0,15.0,27.0,6.0
52.46,13.52,5.0,8.1,1.6199999999999999,9.9633332,3.0,5.0,7.0,2.0
52.46,13.58,1.0,17.05,17.05,44.65,1.0,1.0,0.0,-1.0
52.465,13.135,1.0,6.87,6.87,24.666667,1.0,1.0,0.0,-1.0
52.465,13.315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.32,1.0,9.18,9.18,31.583333,1.0,1.0,2.0,1.0
52.465,13.325000000000001,7.0,24.21,3.4585714285714286,16.242857142857144,4.0,6.0,5.0,-2.0
52.465,13.33,1.0,7.0,7.0,20.933333,1.0,1.0,1.0,0.0
52.465,13.335,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.345,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.465,13.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.38,1.0,4.03,4.03,51.7,1.0,1.0,0.0,-1.0
52.465,13.42,23.0,91.6,3.9826086956521736,9.451449260869564,13.0,13.0,24.0,1.0
52.465,13.425,8.0,56.9,7.1125,19.010416624999998,8.0,8.0,14.0,6.0
52.465,13.43,25.0,96.61,3.8644,13.19200008,20.0,21.0,16.0,-9.0
52.465,13.435,31.0,155.15,5.004838709677419,10.633333322580645,17.0,22.0,26.0,-5.0
52.465,13.44,5.0,33.06,6.612,35.45,5.0,5.0,8.0,3.0
52.465,13.445,10.0,61.2,6.12,21.6283333,10.0,9.0,4.0,-6.0
52.465,13.450000000000001,1.0,3.57,3.57,0.25,1.0,1.0,1.0,0.0
52.465,13.455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.465,1.0,6.17,6.17,23.75,1.0,1.0,0.0,-1.0
52.465,13.47,8.0,39.4,4.925,10.525000125,6.0,6.0,12.0,4.0
52.465,13.475,9.0,46.03,5.114444444444445,21.392592555555556,9.0,8.0,8.0,-1.0
52.465,13.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.465,13.51,146.0,511.15999999999997,3.5010958904109586,14.661757993150683,102.0,69.0,179.0,33.0
52.465,13.515,2.0,5.79,2.895,5.0916665,2.0,2.0,2.0,0.0
52.465,13.545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.315,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.47,13.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
52.47,13.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.345,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
52.47,13.355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.370000000000001,2.0,17.06,8.53,9.1833335,2.0,1.0,1.0,-1.0
52.47,13.38,1.0,9.23,9.23,24.483333,1.0,1.0,5.0,4.0
52.47,13.385,9.0,21.21,2.356666666666667,21.1,5.0,5.0,22.0,13.0
52.47,13.39,10.0,69.37,6.937,18.751666800000002,7.0,8.0,10.0,0.0
52.47,13.395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.47,13.415000000000001,1.0,1.22,1.22,53.75,1.0,1.0,0.0,-1.0
52.47,13.42,24.0,127.56,5.315,10.206249999999999,16.0,18.0,33.0,9.0
52.47,13.425,22.0,92.98,4.2263636363636365,11.707575772727273,15.0,15.0,22.0,0.0
52.47,13.43,86.0,383.69,4.461511627906977,18.002906976744185,62.0,64.0,73.0,-13.0
52.47,13.435,21.0,120.0,5.714285714285714,20.527777761904765,17.0,21.0,24.0,3.0
52.47,13.44,51.0,269.06,5.275686274509804,17.799346392156863,39.0,41.0,68.0,17.0
52.47,13.445,42.0,198.14,4.717619047619047,21.801190404761904,32.0,36.0,72.0,30.0
52.47,13.450000000000001,49.0,204.07,4.16469387755102,17.201360530612245,39.0,38.0,92.0,43.0
52.47,13.455,1.0,2.62,2.62,51.033333,1.0,1.0,1.0,0.0
52.47,13.46,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
52.47,13.465,5.0,36.92,7.384,19.2366666,4.0,5.0,4.0,-1.0
52.47,13.495000000000001,1.0,7.25,7.25,37.0,1.0,1.0,0.0,-1.0
52.47,13.705,1.0,20.58,20.58,59.033333,1.0,1.0,0.0,-1.0
52.475,13.305,1.0,9.36,9.36,18.016667,1.0,1.0,0.0,-1.0
52.475,13.32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.475,13.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.475,13.335,1.0,2.59,2.59,36.633333,1.0,1.0,0.0,-1.0
52.475,13.345,1.0,2.11,2.11,23.183333,1.0,1.0,0.0,-1.0
52.475,13.35,3.0,36.21,12.07,13.494444333333334,3.0,2.0,1.0,-2.0
52.475,13.355,24.0,135.57,5.64875,11.274305583333332,22.0,9.0,19.0,-5.0
52.475,13.36,62.0,286.01,4.6130645161290325,6.354032274193548,60.0,13.0,68.0,6.0
52.475,13.365,68.0,358.17,5.2672058823529415,14.285784352941176,53.0,47.0,77.0,9.0
52.475,13.370000000000001,1.0,5.4,5.4,10.766667,1.0,1.0,2.0,1.0
52.475,13.375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
52.475,13.385,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
