COHORT_MONTH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2019-06,8150.0,824.0,714.0,720.0,731.0,703.0,545.0,524.0,442.0,433.0,290.0,268.0,288.0,227.0,142.0,18.0
2019-07,25921.0,2006.0,1641.0,1418.0,1251.0,1059.0,879.0,783.0,642.0,561.0,440.0,310.0,110.0,42.0,0.0,0.0
2019-08,27120.0,1738.0,1243.0,1014.0,814.0,679.0,480.0,304.0,140.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09,18374.0,587.0,299.0,124.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,2358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
