YEAR_MONTH,rides,riders,scooters,revenue,avg_price,avg_duration,avg_distance
2019-06,18912,8150,1311,85328.85,4.511889276649747,13.135167266603215,0.9395204103214889
2019-07,71938,28225,2274,355945.48,4.94794795518363,13.33264894808029,0.9832066501709805
2019-08,82268,32651,2504,463633.63,5.635649705839452,13.354698871310838,1.0930051781980843
2019-09,52230,24075,2303,282941.01,5.417212521539345,13.271011870438446,0.9937618227072563
2019-10,6520,3733,1253,36022.68,5.524950920245399,12.600319532822086,0.8985659509202454
